date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Maharashtra,Pune,411046,125,1112
01-06-2025,Maharashtra,Nagpur,441111,42,244
01-06-2025,Maharashtra,Nagpur,441202,33,383
01-06-2025,Maharashtra,Gadchiroli,441209,57,415
01-06-2025,Maharashtra,Nagpur,440034,256,1461
01-06-2025,Maharashtra,Mumbai Suburban,400066,95,800
01-06-2025,Maharashtra,Jalgaon,425201,90,831
01-06-2025,Maharashtra,Wardha,442001,209,1254
01-06-2025,Maharashtra,Akola,444501,40,222
01-06-2025,Maharashtra,Mumbai Suburban,400072,183,1223
01-06-2025,Maharashtra,Pune,411062,220,1322
01-06-2025,Maharashtra,Nashik,422103,89,747
01-06-2025,Maharashtra,Pune,411060,96,691
01-06-2025,Maharashtra,Chandrapur,441206,35,795
01-06-2025,Maharashtra,Palghar,401209,335,2544
01-03-2025,Maharashtra,Raigarh,410201,23,565
01-03-2025,Maharashtra,Palghar,401404,52,901
01-03-2025,Maharashtra,Jalgaon,425508,18,350
01-03-2025,Maharashtra,Jalgaon,425503,23,216
01-03-2025,Maharashtra,Jalgaon,425107,38,870
01-03-2025,Maharashtra,Amravati,444904,14,519
01-03-2025,Maharashtra,Nashik,422005,13,95
01-03-2025,Maharashtra,Nagpur,440008,58,882
01-03-2025,Maharashtra,Nagpur,441301,11,277
01-03-2025,Maharashtra,Buldhana,444204,10,215
01-03-2025,Maharashtra,Washim,444503,22,672
01-03-2025,Maharashtra,Akola,444003,10,223
01-03-2025,Maharashtra,Mumbai City,400019,26,197
01-03-2025,Maharashtra,Nashik,423204,10,241
01-03-2025,Maharashtra,Buldhana,443102,15,322
01-03-2025,Maharashtra,Mumbai City,400009,32,212
01-03-2025,Maharashtra,Yavatmal,445205,30,686
01-03-2025,Maharashtra,Beed,431517,78,1210
01-03-2025,Maharashtra,Nagpur,441113,14,317
01-03-2025,Maharashtra,Nanded,431801,37,710
01-03-2025,Maharashtra,Nashik,422004,31,328
01-03-2025,Maharashtra,Jalna,431501,55,1189
01-03-2025,Maharashtra,Ratnagiri,415709,17,373
01-03-2025,Maharashtra,Pune,411046,133,1413
01-03-2025,Maharashtra,Satara,415506,16,248
01-03-2025,Maharashtra,Solapur,413001,28,463
01-03-2025,Maharashtra,Satara,415112,14,350
01-03-2025,Maharashtra,Raigarh,410208,56,284
01-03-2025,Maharashtra,Nagpur,441104,28,276
01-03-2025,Maharashtra,Pune,411007,19,253
01-03-2025,Maharashtra,Pune,411004,12,229
01-03-2025,Maharashtra,Beed,431126,34,632
01-03-2025,Maharashtra,Pune,411037,73,1122
01-03-2025,Maharashtra,Pune,412208,44,844
01-03-2025,Maharashtra,Nagpur,440036,17,153
01-03-2025,Maharashtra,Nashik,423302,22,224
01-03-2025,Maharashtra,Thane,400701,105,1181
01-03-2025,Maharashtra,Nandurbar,425411,11,93
01-03-2025,Maharashtra,Amravati,444606,17,255
01-03-2025,Maharashtra,Kolhapur,416101,24,483
01-03-2025,Maharashtra,Osmanabad,413606,101,1884
01-03-2025,Maharashtra,Pune,411058,57,531
01-03-2025,Maharashtra,Nagpur,440037,32,285
01-03-2025,Maharashtra,Akola,444001,114,1096
01-03-2025,Maharashtra,Bhandara,441905,20,532
01-03-2025,Maharashtra,Washim,444506,11,373
01-03-2025,Maharashtra,Yavatmal,445206,40,583
01-03-2025,Maharashtra,Thane,400605,157,1407
01-03-2025,Maharashtra,Aurangabad,431101,32,670
01-03-2025,Maharashtra,Pune,411003,19,281
01-03-2025,Maharashtra,Mumbai,400074,23,442
01-03-2025,Maharashtra,Palghar,401202,65,707
01-03-2025,Maharashtra,Ratnagiri,415203,13,185
01-03-2025,Maharashtra,Nagpur,441502,14,528
01-03-2025,Maharashtra,Nagpur,441108,53,672
01-03-2025,Maharashtra,Amravati,444807,10,171
01-03-2025,Maharashtra,Mumbai City,400064,17,195
01-03-2025,Maharashtra,Pune,411027,68,741
01-03-2025,Maharashtra,Mumbai,400009,11,203
01-03-2025,Maharashtra,Jalna,431209,32,410
01-03-2025,Maharashtra,Wardha,442202,56,366
01-03-2025,Maharashtra,Akola,444101,76,2285
01-03-2025,Maharashtra,Aurangabad,431116,20,769
01-03-2025,Maharashtra,Mumbai City,400025,21,179
01-03-2025,Maharashtra,Thane,421005,25,481
01-03-2025,Maharashtra,Amravati,444906,34,581
01-03-2025,Maharashtra,Amravati,444701,40,417
01-03-2025,Maharashtra,Kolhapur,416013,23,253
01-03-2025,Maharashtra,Pune,412206,14,1025
01-03-2025,Maharashtra,Nashik,423208,15,573
01-03-2025,Maharashtra,Mumbai City,400015,26,214
01-03-2025,Maharashtra,Nagpur,441302,29,463
01-03-2025,Maharashtra,Thane,400612,447,3557
01-03-2025,Maharashtra,Jalgaon,424108,12,206
01-03-2025,Maharashtra,Ahmadnagar,413709,33,881
01-03-2025,Maharashtra,Thane,400703,70,842
01-03-2025,Maharashtra,Chandrapur,441205,13,298
01-03-2025,Maharashtra,Gondiya,441614,90,870
01-03-2025,Maharashtra,Washim,444105,36,412
01-03-2025,Maharashtra,Parbhani,431516,32,613
01-03-2025,Maharashtra,Amravati,444604,20,165
01-03-2025,Maharashtra,Mumbai City,400078,41,331
01-03-2025,Maharashtra,Ahmadnagar,414701,10,289
01-03-2025,Maharashtra,Kolhapur,416003,37,408
01-03-2025,Maharashtra,Pune,412203,22,346
01-03-2025,Maharashtra,Nanded,431809,18,515
01-03-2025,Maharashtra,Parbhani,431503,66,2099
01-03-2025,Maharashtra,Nashik,422103,74,992
01-03-2025,Maharashtra,Thane,421402,12,278
01-03-2025,Maharashtra,Pune,412403,16,240
01-03-2025,Maharashtra,Jalgaon,425401,68,913
01-03-2025,Maharashtra,Nashik,423105,43,1110
01-03-2025,Maharashtra,Yavatmal,445201,10,203
01-03-2025,Maharashtra,Raigarh,402104,11,263
01-03-2025,Maharashtra,Aurangabad,431147,18,340
01-03-2025,Maharashtra,Beed,431122,209,2865
01-03-2025,Maharashtra,Aurangabad,431107,31,392
01-03-2025,Maharashtra,Chandrapur,442916,14,387
01-03-2025,Maharashtra,Nashik,422206,20,172
01-03-2025,Maharashtra,Nagpur,441501,23,825
01-03-2025,Maharashtra,Nashik,423206,17,720
01-03-2025,Maharashtra,Ahmadnagar,414106,13,214
01-03-2025,Maharashtra,Nashik,423101,25,532
01-03-2025,Maharashtra,Satara,412802,15,247
01-03-2025,Maharashtra,Beed,431143,26,772
01-03-2025,Maharashtra,Nashik,422212,18,281
01-03-2025,Maharashtra,Jalna,431204,25,497
01-03-2025,Maharashtra,Kolhapur,416008,28,417
01-03-2025,Maharashtra,Osmanabad,413502,23,789
01-03-2025,Maharashtra,Mumbai Suburban,400101,126,1241
01-03-2025,Maharashtra,Latur,413524,13,378
01-03-2025,Maharashtra,Mumbai City,400013,19,267
01-03-2025,Maharashtra,Washim,444404,29,491
01-03-2025,Maharashtra,Amravati,444702,19,391
01-03-2025,Maharashtra,Solapur,413308,17,328
01-03-2025,Maharashtra,Ahmadnagar,413205,12,279
01-03-2025,Maharashtra,Jalgaon,425303,10,144
01-03-2025,Maharashtra,Latur,413513,32,524
01-03-2025,Maharashtra,Gadchiroli,442705,13,375
01-03-2025,Maharashtra,Mumbai Suburban,400080,80,845
01-03-2025,Maharashtra,Gadchiroli,442605,18,195
01-03-2025,Maharashtra,Jalgaon,425311,12,213
01-03-2025,Maharashtra,Chandrapur,442905,27,377
01-03-2025,Maharashtra,Mumbai,400095,26,391
01-03-2025,Maharashtra,Pune,412204,17,318
01-03-2025,Maharashtra,Parbhani,431509,77,1707
01-03-2025,Maharashtra,Chandrapur,442907,45,796
01-03-2025,Maharashtra,Mumbai City,400003,16,218
01-03-2025,Maharashtra,Nandurbar,425452,21,94
01-03-2025,Maharashtra,Nandurbar,425409,38,276
01-03-2025,Maharashtra,Mumbai,400051,13,263
01-03-2025,Maharashtra,Akola,444107,27,580
01-03-2025,Maharashtra,Nagpur,441002,46,305
01-03-2025,Maharashtra,Yavatmal,445001,83,934
01-03-2025,Maharashtra,Chhatrapati Sambhajinagar,431008,15,131
01-03-2025,Maharashtra,Pune,411048,193,1812
01-03-2025,Maharashtra,Jalgaon,425309,18,141
01-03-2025,Maharashtra,Pune,412201,17,291
01-06-2025,Maharashtra,Thane,400607,121,918
01-06-2025,Maharashtra,Pune,412105,221,1590
01-06-2025,Maharashtra,Pune,411017,175,1111
01-06-2025,Maharashtra,Gondiya,441911,59,487
01-07-2025,Maharashtra,Mumbai Suburban,400101,176,1481
01-07-2025,Maharashtra,Nanded,431601,143,781
01-07-2025,Maharashtra,Pune,411045,63,845
01-07-2025,Maharashtra,Pune,413102,115,1162
01-07-2025,Maharashtra,Amravati,444601,233,1092
01-07-2025,Maharashtra,Thane,421204,181,1551
01-07-2025,Maharashtra,Chandrapur,442908,74,658
01-07-2025,Maharashtra,Nashik,423102,60,544
01-07-2025,Maharashtra,Thane,400606,106,855
01-07-2025,Maharashtra,Nashik,423203,423,2540
01-07-2025,Maharashtra,Thane,401107,416,4242
01-07-2025,Maharashtra,Nagpur,440035,177,909
01-07-2025,Maharashtra,Yavatmal,445001,73,818
01-07-2025,Maharashtra,Gadchiroli,442605,44,282
01-07-2025,Maharashtra,Thane,421302,593,5638
01-07-2025,Maharashtra,Pune,411014,209,1558
01-07-2025,Maharashtra,Kolhapur,416001,107,626
01-07-2025,Maharashtra,Amravati,444702,79,612
01-09-2025,Maharashtra,Ahmadnagar,413205,0,6
01-09-2025,Maharashtra,Ahmadnagar,413706,0,10
01-09-2025,Maharashtra,Ahmadnagar,413714,1,6
01-09-2025,Maharashtra,Ahmadnagar,413725,0,10
01-09-2025,Maharashtra,Ahmadnagar,413737,1,2
01-09-2025,Maharashtra,Ahmadnagar,414103,2,9
01-09-2025,Maharashtra,Ahmadnagar,414111,2,9
01-09-2025,Maharashtra,Ahmadnagar,414113,1,1
01-09-2025,Maharashtra,Ahmadnagar,414201,0,2
01-09-2025,Maharashtra,Ahmadnagar,414501,2,5
01-09-2025,Maharashtra,Ahmadnagar,414503,1,10
01-09-2025,Maharashtra,Ahmadnagar,422601,2,9
01-09-2025,Maharashtra,Ahmadnagar,422602,0,2
01-09-2025,Maharashtra,Ahmadnagar,422604,1,6
01-09-2025,Maharashtra,Ahmadnagar,422610,2,9
01-09-2025,Maharashtra,Ahmadnagar,422620,0,2
01-09-2025,Maharashtra,Ahmadnagar,423607,0,1
01-09-2025,Maharashtra,Ahmed Nagar,422604,0,1
01-09-2025,Maharashtra,Akola,444002,2,5
01-09-2025,Maharashtra,Akola,444108,0,5
01-09-2025,Maharashtra,Akola,444302,0,8
01-09-2025,Maharashtra,Akola,444401,0,4
01-09-2025,Maharashtra,Amravati,444606,1,6
01-09-2025,Maharashtra,Amravati,444607,0,3
01-09-2025,Maharashtra,Amravati,444709,1,10
01-09-2025,Maharashtra,Amravati,444717,0,18
01-09-2025,Maharashtra,Amravati,444723,0,2
01-09-2025,Maharashtra,Amravati,444728,0,2
01-09-2025,Maharashtra,Amravati,444803,2,7
01-09-2025,Maharashtra,Amravati,444804,2,4
01-09-2025,Maharashtra,Amravati,444903,0,2
01-09-2025,Maharashtra,Aurangabad,423701,0,18
01-09-2025,Maharashtra,Aurangabad,423702,0,3
01-09-2025,Maharashtra,Aurangabad,423703,0,4
01-09-2025,Maharashtra,Aurangabad,431005,0,7
01-09-2025,Maharashtra,Aurangabad,431102,1,0
01-09-2025,Maharashtra,Aurangabad,431105,1,20
01-09-2025,Maharashtra,Aurangabad,431110,1,4
01-09-2025,Maharashtra,Aurangabad,431112,1,8
01-09-2025,Maharashtra,Aurangabad,431115,1,1
01-09-2025,Maharashtra,Aurangabad,431134,1,6
01-09-2025,Maharashtra,Aurangabad,431150,1,3
01-09-2025,Maharashtra,Aurangabad,431151,0,2
01-09-2025,Maharashtra,Beed,413229,1,6
01-09-2025,Maharashtra,Beed,431125,1,3
01-09-2025,Maharashtra,Beed,431126,1,3
01-09-2025,Maharashtra,Beed,431128,0,1
01-09-2025,Maharashtra,Beed,431129,0,4
01-09-2025,Maharashtra,Beed,431143,1,0
01-09-2025,Maharashtra,Beed,431519,0,2
01-09-2025,Maharashtra,Bhandara,441802,2,17
01-09-2025,Maharashtra,Bhandara,441903,0,6
01-09-2025,Maharashtra,Bhandara,441906,2,6
01-09-2025,Maharashtra,Bhandara,441912,1,16
01-09-2025,Maharashtra,Bhandara,441913,0,12
01-09-2025,Maharashtra,Bhandara,441924,1,7
01-09-2025,Maharashtra,Bid,431122,0,8
01-09-2025,Maharashtra,Bid,431128,0,1
01-09-2025,Maharashtra,Buldana,443101,0,2
01-09-2025,Maharashtra,Buldana,443203,0,2
01-09-2025,Maharashtra,Buldana,443404,0,3
01-09-2025,Maharashtra,Buldana,444301,0,2
01-09-2025,Maharashtra,Buldana,444312,0,2
01-09-2025,Maharashtra,Buldhana,443106,0,2
01-09-2025,Maharashtra,Buldhana,443201,4,17
01-09-2025,Maharashtra,Buldhana,443404,1,1
01-09-2025,Maharashtra,Buldhana,444303,0,11
01-09-2025,Maharashtra,Chandrapur,441205,2,17
01-09-2025,Maharashtra,Chandrapur,441225,0,10
01-09-2025,Maharashtra,Chandrapur,442402,0,2
01-09-2025,Maharashtra,Chandrapur,442403,0,1
01-09-2025,Maharashtra,Chandrapur,442901,1,1
01-09-2025,Maharashtra,Chandrapur,442903,0,21
01-09-2025,Maharashtra,Chandrapur,442906,0,11
01-09-2025,Maharashtra,Chandrapur,442907,3,38
01-09-2025,Maharashtra,Chandrapur,442914,1,13
01-09-2025,Maharashtra,Chhatrapati Sambhajinagar,431005,0,1
01-09-2025,Maharashtra,Chhatrapati Sambhajinagar,431112,0,3
01-09-2025,Maharashtra,Chhatrapati Sambhajinagar,431132,0,2
01-09-2025,Maharashtra,Chhatrapati Sambhajinagar,431134,0,1
01-09-2025,Maharashtra,Dharashiv,413505,0,1
01-09-2025,Maharashtra,Dharashiv,413608,0,1
01-09-2025,Maharashtra,Dhule,424306,1,22
01-09-2025,Maharashtra,Dhule,425403,0,2
01-09-2025,Maharashtra,Dhule,425405,3,59
01-09-2025,Maharashtra,Dhule,425407,2,14
01-09-2025,Maharashtra,Gadchiroli,441209,1,11
01-09-2025,Maharashtra,Gadchiroli,442710,0,6
01-09-2025,Maharashtra,Gondiya,441702,0,8
01-09-2025,Maharashtra,Gondiya,441801,2,24
01-09-2025,Maharashtra,Gondiya,441901,2,30
01-09-2025,Maharashtra,Gondiya,441902,0,21
01-09-2025,Maharashtra,Gondiya,441916,2,29
01-09-2025,Maharashtra,Hingoli,431510,0,1
01-09-2025,Maharashtra,Hingoli,431512,0,23
01-09-2025,Maharashtra,Jalgaon,424116,1,5
01-09-2025,Maharashtra,Jalgaon,424203,0,2
01-09-2025,Maharashtra,Jalgaon,424205,0,20
01-09-2025,Maharashtra,Jalgaon,425103,4,11
01-09-2025,Maharashtra,Jalgaon,425108,1,11
01-09-2025,Maharashtra,Jalgaon,425201,1,41
01-09-2025,Maharashtra,Jalgaon,425304,1,0
01-09-2025,Maharashtra,Jalgaon,425307,0,4
01-09-2025,Maharashtra,Jalgaon,425502,3,6
01-09-2025,Maharashtra,Jalgaon,425504,1,6
01-09-2025,Maharashtra,Jalgaon,425505,0,2
01-09-2025,Maharashtra,Jalgaon,425506,0,1
01-09-2025,Maharashtra,Jalgaon,425508,2,21
01-09-2025,Maharashtra,Jalgaon,425524,0,3
01-09-2025,Maharashtra,Jalna,431112,0,3
01-09-2025,Maharashtra,Jalna,431206,0,15
01-09-2025,Maharashtra,Jalna,431502,1,3
01-09-2025,Maharashtra,Jalna,431503,0,1
01-09-2025,Maharashtra,Jalna,431504,1,13
01-09-2025,Maharashtra,Kolhapur,416013,0,5
01-09-2025,Maharashtra,Kolhapur,416109,0,13
01-09-2025,Maharashtra,Kolhapur,416115,4,29
01-09-2025,Maharashtra,Kolhapur,416121,3,11
01-09-2025,Maharashtra,Kolhapur,416122,0,6
01-09-2025,Maharashtra,Kolhapur,416146,1,1
01-09-2025,Maharashtra,Kolhapur,416215,0,2
01-09-2025,Maharashtra,Kolhapur,416229,0,7
01-09-2025,Maharashtra,Kolhapur,416230,0,3
01-09-2025,Maharashtra,Kolhapur,416502,0,5
01-09-2025,Maharashtra,Kolhapur,416507,0,5
01-09-2025,Maharashtra,Kolhapur,416509,1,5
01-09-2025,Maharashtra,Latur,413523,0,3
01-09-2025,Maharashtra,Latur,413524,1,2
01-09-2025,Maharashtra,Mumbai,400001,0,1
01-09-2025,Maharashtra,Mumbai,400005,0,12
01-09-2025,Maharashtra,Mumbai,400009,0,3
01-09-2025,Maharashtra,Mumbai,400020,0,1
01-09-2025,Maharashtra,Mumbai,400022,0,8
01-09-2025,Maharashtra,Mumbai,400027,0,2
01-09-2025,Maharashtra,Mumbai,400033,1,2
01-09-2025,Maharashtra,Mumbai,400060,1,9
01-09-2025,Maharashtra,Mumbai,400065,2,9
01-09-2025,Maharashtra,Mumbai,400067,2,30
01-09-2025,Maharashtra,Mumbai,400071,1,7
01-09-2025,Maharashtra,Mumbai,400084,0,8
01-09-2025,Maharashtra,Mumbai,400086,1,13
01-09-2025,Maharashtra,Mumbai,400091,1,5
01-09-2025,Maharashtra,Mumbai,400099,2,4
01-09-2025,Maharashtra,Mumbai,400103,0,7
01-09-2025,Maharashtra,Mumbai,401103,0,1
01-09-2025,Maharashtra,Mumbai,401209,0,2
01-09-2025,Maharashtra,Mumbai,401210,0,3
01-09-2025,Maharashtra,Mumbai City,400013,0,3
01-09-2025,Maharashtra,Mumbai City,400019,0,8
01-09-2025,Maharashtra,Mumbai City,400028,1,5
01-09-2025,Maharashtra,Mumbai City,400033,0,5
01-09-2025,Maharashtra,Mumbai City,400034,0,2
01-09-2025,Maharashtra,Mumbai City,400037,6,42
01-09-2025,Maharashtra,Mumbai City,400064,1,3
01-09-2025,Maharashtra,Mumbai Suburban,400051,1,21
01-09-2025,Maharashtra,Mumbai Suburban,400052,1,5
01-09-2025,Maharashtra,Mumbai Suburban,400054,1,11
01-09-2025,Maharashtra,Mumbai Suburban,400058,4,20
01-09-2025,Maharashtra,Mumbai Suburban,400063,0,14
01-09-2025,Maharashtra,Mumbai Suburban,400065,4,11
01-09-2025,Maharashtra,Mumbai Suburban,400071,0,32
01-09-2025,Maharashtra,Mumbai Suburban,400086,2,14
01-09-2025,Maharashtra,Mumbai Suburban,400091,0,10
01-09-2025,Maharashtra,Mumbai Suburban,400094,1,9
01-09-2025,Maharashtra,Mumbai Suburban,400097,0,35
01-09-2025,Maharashtra,Mumbai( Sub Urban ),400067,0,2
01-09-2025,Maharashtra,Mumbai( Sub Urban ),400074,0,4
01-09-2025,Maharashtra,Mumbai( Sub Urban ),400091,0,1
01-09-2025,Maharashtra,Nagpur,440007,0,1
01-09-2025,Maharashtra,Nagpur,440008,1,19
01-09-2025,Maharashtra,Nagpur,440010,0,10
01-09-2025,Maharashtra,Nagpur,440013,2,25
01-09-2025,Maharashtra,Nagpur,440019,0,1
01-09-2025,Maharashtra,Nagpur,441106,1,5
01-09-2025,Maharashtra,Nagpur,441108,1,7
01-09-2025,Maharashtra,Nagpur,441109,0,2
01-09-2025,Maharashtra,Nagpur,441201,1,0
01-09-2025,Maharashtra,Nagpur,441204,1,3
01-09-2025,Maharashtra,Nagpur,441210,2,5
01-09-2025,Maharashtra,Nagpur,441306,0,1
01-09-2025,Maharashtra,Nagpur,441401,0,3
01-09-2025,Maharashtra,Nanded,431603,1,12
01-09-2025,Maharashtra,Nanded,431604,2,38
01-09-2025,Maharashtra,Nanded,431708,2,23
01-09-2025,Maharashtra,Nanded,431717,2,18
01-09-2025,Maharashtra,Nanded,431718,1,3
01-09-2025,Maharashtra,Nanded,431721,1,17
01-09-2025,Maharashtra,Nanded,431723,0,8
01-09-2025,Maharashtra,Nanded,431745,0,2
01-09-2025,Maharashtra,Nanded,431750,0,3
01-09-2025,Maharashtra,Nanded,431801,0,17
01-09-2025,Maharashtra,Nanded,431802,2,18
01-09-2025,Maharashtra,Nandurbar,425410,1,2
01-09-2025,Maharashtra,Nandurbar,425414,7,29
01-09-2025,Maharashtra,Nandurbar,425416,0,5
01-09-2025,Maharashtra,Nandurbar,425423,0,3
01-09-2025,Maharashtra,Nandurbar,425452,0,7
01-09-2025,Maharashtra,Nandurbar *,425413,0,1
01-09-2025,Maharashtra,Nashik,422001,4,13
01-09-2025,Maharashtra,Nashik,422003,6,60
01-09-2025,Maharashtra,Nashik,422006,1,17
01-09-2025,Maharashtra,Nashik,422008,1,5
01-09-2025,Maharashtra,Nashik,422101,4,37
01-09-2025,Maharashtra,Nashik,422102,1,10
01-09-2025,Maharashtra,Nashik,422105,0,1
01-09-2025,Maharashtra,Nashik,422112,0,2
01-09-2025,Maharashtra,Nashik,422206,0,11
01-09-2025,Maharashtra,Nashik,422302,1,3
01-09-2025,Maharashtra,Nashik,422304,1,1
01-09-2025,Maharashtra,Nashik,423102,1,23
01-09-2025,Maharashtra,Nashik,423203,16,109
01-09-2025,Maharashtra,Nashik,423212,0,8
01-09-2025,Maharashtra,Osmanabad,413503,0,3
01-09-2025,Maharashtra,Palghar,401103,0,7
01-09-2025,Maharashtra,Palghar,401401,0,1
01-09-2025,Maharashtra,Palghar,401501,3,29
01-09-2025,Maharashtra,Palghar,401604,1,12
01-09-2025,Maharashtra,Palghar,401605,3,24
01-09-2025,Maharashtra,Palghar,401610,1,12
01-09-2025,Maharashtra,Palghar,401701,0,4
01-09-2025,Maharashtra,Parbhani,431505,0,2
01-09-2025,Maharashtra,Parbhani,431510,0,2
01-09-2025,Maharashtra,Pune,410501,1,49
01-09-2025,Maharashtra,Pune,410510,0,2
01-09-2025,Maharashtra,Pune,410512,0,3
01-09-2025,Maharashtra,Pune,410513,1,0
01-09-2025,Maharashtra,Pune,411020,0,4
01-09-2025,Maharashtra,Pune,411027,1,17
01-09-2025,Maharashtra,Pune,411030,0,11
01-09-2025,Maharashtra,Pune,411038,1,23
01-09-2025,Maharashtra,Pune,411039,0,20
01-09-2025,Maharashtra,Pune,411041,2,24
01-09-2025,Maharashtra,Pune,411047,3,18
01-09-2025,Maharashtra,Pune,412115,0,7
01-09-2025,Maharashtra,Pune,412203,2,18
01-09-2025,Maharashtra,Pune,412204,1,2
01-09-2025,Maharashtra,Pune,412206,0,12
01-09-2025,Maharashtra,Pune,412308,1,17
01-09-2025,Maharashtra,Pune,412312,0,1
01-09-2025,Maharashtra,Pune,412402,0,3
01-09-2025,Maharashtra,Pune,412404,2,3
01-09-2025,Maharashtra,Pune,412406,0,2
01-09-2025,Maharashtra,Pune,412410,1,8
01-09-2025,Maharashtra,Pune,412411,0,6
01-09-2025,Maharashtra,Pune,413102,10,32
01-09-2025,Maharashtra,Pune,413116,0,4
01-09-2025,Maharashtra,Pune,413132,0,3
01-09-2025,Maharashtra,Raigad,402103,0,2
01-09-2025,Maharashtra,Raigad,402201,0,4
01-09-2025,Maharashtra,Raigad,402209,0,1
01-09-2025,Maharashtra,Raigad,410218,0,10
01-09-2025,Maharashtra,Raigarh,400707,0,2
01-09-2025,Maharashtra,Raigarh,402112,0,2
01-09-2025,Maharashtra,Raigarh,402209,0,1
01-09-2025,Maharashtra,Raigarh,402305,0,1
01-09-2025,Maharashtra,Raigarh,410208,2,6
01-09-2025,Maharashtra,Raigarh,410210,2,9
01-09-2025,Maharashtra,Raigarh,410222,0,3
01-09-2025,Maharashtra,Ratnagiri,415605,1,10
01-09-2025,Maharashtra,Ratnagiri,415606,0,2
01-09-2025,Maharashtra,Ratnagiri,415701,0,2
01-09-2025,Maharashtra,Ratnagiri,415727,1,2
01-09-2025,Maharashtra,Ratnagiri,416702,0,7
01-09-2025,Maharashtra,Ratnagiri,416704,0,4
01-09-2025,Maharashtra,Ratnagiri,416713,1,0
