date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Maharashtra,Beed,414203,380,467
01-03-2025,Maharashtra,Ratnagiri,415202,36,48
01-03-2025,Maharashtra,Ratnagiri,415806,14,26
01-03-2025,Maharashtra,Yavatmal,445401,151,501
01-03-2025,Maharashtra,Nashik,422204,162,817
01-03-2025,Maharashtra,Ahmadnagar,413708,88,111
01-03-2025,Maharashtra,Satara,415536,12,33
01-03-2025,Maharashtra,Kolhapur,416122,217,414
01-03-2025,Maharashtra,Solapur,413217,130,141
01-03-2025,Maharashtra,Nanded,431741,101,360
01-03-2025,Maharashtra,Yavatmal,445204,897,2501
01-03-2025,Maharashtra,Yavatmal,445202,628,1629
01-03-2025,Maharashtra,Kolhapur,416206,146,138
01-03-2025,Maharashtra,Beed,431128,395,755
01-03-2025,Maharashtra,Kolhapur,416223,77,119
01-03-2025,Maharashtra,Sindhudurg,416511,67,103
01-03-2025,Maharashtra,Thane,401202,15,235
01-03-2025,Maharashtra,Mumbai,400056,66,201
01-03-2025,Maharashtra,Sangli,415302,108,202
01-03-2025,Maharashtra,Dhule,424006,148,469
01-03-2025,Maharashtra,Thane,401203,20,205
01-03-2025,Maharashtra,Nanded,431716,83,119
01-03-2025,Maharashtra,Ahmadnagar,423601,444,608
01-03-2025,Maharashtra,Nagpur,440015,93,271
01-03-2025,Maharashtra,Pune,412207,303,568
01-03-2025,Maharashtra,Aurangabad,431110,103,263
01-03-2025,Maharashtra,Beed,431515,441,1083
01-03-2025,Maharashtra,Palghar,401103,82,128
01-03-2025,Maharashtra,Ratnagiri,415711,46,156
01-03-2025,Maharashtra,Pune,412401,36,84
01-03-2025,Maharashtra,Gadchiroli,442704,215,1082
01-03-2025,Maharashtra,Osmanabad,413504,500,460
01-03-2025,Maharashtra,Satara,415514,76,165
01-03-2025,Maharashtra,Jalgaon,425109,213,877
01-03-2025,Maharashtra,Aurangabad,423702,244,462
01-03-2025,Maharashtra,Sangli,416405,396,819
01-03-2025,Maharashtra,Ahmadnagar,413714,64,208
01-03-2025,Maharashtra,Mumbai,400012,79,343
01-03-2025,Maharashtra,Nagpur,440032,72,162
01-03-2025,Maharashtra,Nashik,423104,513,1012
01-03-2025,Maharashtra,Kolhapur,415101,156,238
01-03-2025,Maharashtra,Latur,413516,280,556
01-03-2025,Maharashtra,Pune,411061,129,273
01-03-2025,Maharashtra,Chandrapur,442908,463,768
01-03-2025,Maharashtra,Ratnagiri,415801,24,85
01-03-2025,Maharashtra,Kolhapur,416229,114,291
01-03-2025,Maharashtra,Pune,411047,91,206
01-03-2025,Maharashtra,Pune,411006,323,668
01-03-2025,Maharashtra,Palghar,401302,27,29
01-03-2025,Maharashtra,Nashik,422303,332,698
01-03-2025,Maharashtra,Aurangabad,431002,225,337
01-03-2025,Maharashtra,Raigarh,402111,44,99
01-03-2025,Maharashtra,Washim,444403,572,1892
01-03-2025,Maharashtra,Sangli,415403,43,98
01-03-2025,Maharashtra,Raigad,410208,19,88
01-03-2025,Maharashtra,Mumbai,400103,42,201
01-03-2025,Maharashtra,Nashik,423213,147,226
01-03-2025,Maharashtra,Satara,415205,100,158
01-03-2025,Maharashtra,Aurangabad,431005,107,354
01-03-2025,Maharashtra,Raigarh,402113,19,34
01-03-2025,Maharashtra,Nandurbar,425413,344,1222
01-03-2025,Maharashtra,Jalna,431205,71,131
01-03-2025,Maharashtra,Pune,413130,144,230
01-03-2025,Maharashtra,Chandrapur,442406,68,234
01-03-2025,Maharashtra,Sindhudurg,416602,210,256
01-03-2025,Maharashtra,Pune,413802,43,46
01-03-2025,Maharashtra,Mumbai City,400001,13,25
01-03-2025,Maharashtra,Ahmadnagar,423607,16,30
01-03-2025,Maharashtra,Sindhudurg,416518,35,75
01-03-2025,Maharashtra,Satara,415523,986,932
01-03-2025,Maharashtra,Nagpur,441103,166,388
01-03-2025,Maharashtra,Solapur,413319,205,171
01-03-2025,Maharashtra,Ahmadnagar,413710,90,223
01-03-2025,Maharashtra,Chandrapur,441228,85,346
01-03-2025,Maharashtra,Beed,431518,166,245
01-03-2025,Maharashtra,Thane,421501,265,731
01-03-2025,Maharashtra,Palghar,401208,402,619
01-03-2025,Maharashtra,Dhule,425408,278,696
01-03-2025,Maharashtra,Mumbai,400026,17,82
01-03-2025,Maharashtra,Solapur,413219,113,156
01-03-2025,Maharashtra,Palghar,401401,35,24
01-03-2025,Maharashtra,Nanded,431707,223,322
01-03-2025,Maharashtra,Mumbai,400069,61,230
01-03-2025,Maharashtra,Palghar,401301,57,35
01-03-2025,Maharashtra,Jalgaon,425103,247,586
01-03-2025,Maharashtra,Ahmadnagar,413705,169,546
01-03-2025,Maharashtra,Sangli,416303,203,237
01-03-2025,Maharashtra,Nanded,431805,574,798
01-03-2025,Maharashtra,Jalna,431503,10,26
01-03-2025,Maharashtra,Mumbai Suburban,400065,109,146
01-03-2025,Maharashtra,Nanded,431604,611,618
01-03-2025,Maharashtra,Ahmadnagar,414502,350,848
01-03-2025,Maharashtra,Jalgaon,424203,39,181
01-03-2025,Maharashtra,Dhule,425421,76,169
01-03-2025,Maharashtra,Ratnagiri,415729,12,33
01-03-2025,Maharashtra,Raigarh,400707,28,32
01-03-2025,Maharashtra,Mumbai Suburban,400069,70,67
01-03-2025,Maharashtra,Solapur,413317,134,161
01-03-2025,Maharashtra,Palghar,401701,36,36
01-03-2025,Maharashtra,Sangli,416409,121,150
01-03-2025,Maharashtra,Solapur,413305,295,430
01-03-2025,Maharashtra,Dhule,425403,13,54
01-03-2025,Maharashtra,Nashik,424109,96,306
01-03-2025,Maharashtra,Raigarh,410222,29,67
01-03-2025,Maharashtra,Palghar,401403,271,419
01-03-2025,Maharashtra,Mumbai,400027,11,61
01-03-2025,Maharashtra,Buldhana,443401,99,297
01-03-2025,Maharashtra,Palghar,401501,434,472
01-03-2025,Maharashtra,Thane,400607,295,581
01-03-2025,Maharashtra,Sangli,416407,99,158
01-03-2025,Maharashtra,Sindhudurg,416632,11,32
01-03-2025,Maharashtra,Nashik,423205,280,824
01-03-2025,Maharashtra,Gondiya,441701,203,477
01-03-2025,Maharashtra,Mumbai,400028,31,293
01-03-2025,Maharashtra,Osmanabad,413623,261,258
01-03-2025,Maharashtra,Mumbai Suburban,400055,205,201
01-03-2025,Maharashtra,Jalgaon,425115,86,141
01-03-2025,Maharashtra,Solapur,413108,45,70
01-03-2025,Maharashtra,Mumbai Suburban,400054,52,58
01-03-2025,Maharashtra,Palghar,421303,438,299
01-03-2025,Maharashtra,Amravati,444810,27,161
01-03-2025,Maharashtra,Nanded,431605,473,848
01-03-2025,Maharashtra,Ahmadnagar,422605,304,931
01-03-2025,Maharashtra,Nanded,431710,286,632
01-03-2025,Maharashtra,Jalna,431203,812,2010
01-03-2025,Maharashtra,Raigad,410210,49,169
01-03-2025,Maharashtra,Ratnagiri,415612,383,493
01-03-2025,Maharashtra,Nagpur,441101,253,548
01-03-2025,Maharashtra,Ahmadnagar,413702,68,229
01-03-2025,Maharashtra,Mumbai Suburban,400079,83,127
01-03-2025,Maharashtra,Pune,411052,95,189
01-03-2025,Maharashtra,Solapur,413309,157,547
01-03-2025,Maharashtra,Sindhudurg,416510,270,318
01-03-2025,Maharashtra,Amravati,444710,92,247
01-03-2025,Maharashtra,Satara,415507,92,148
01-03-2025,Maharashtra,Thane,400706,361,814
01-03-2025,Maharashtra,Raigarh,402305,29,40
01-03-2025,Maharashtra,Mumbai Suburban,400075,86,136
01-03-2025,Maharashtra,Pune,412404,122,140
01-03-2025,Maharashtra,Amravati,444605,93,269
01-03-2025,Maharashtra,Sangli,416316,26,78
01-03-2025,Maharashtra,Sindhudurg,416549,21,27
01-03-2025,Maharashtra,Washim,444402,130,374
01-03-2025,Maharashtra,Mumbai,400082,28,143
01-03-2025,Maharashtra,Washim,444504,176,545
01-03-2025,Maharashtra,Nashik,422208,262,985
01-03-2025,Maharashtra,Jalgaon,424205,144,315
01-04-2025,Maharashtra,Mumbai City,400027,20,20
01-04-2025,Maharashtra,Solapur,413315,65,61
01-04-2025,Maharashtra,Amravati,444604,167,444
01-04-2025,Maharashtra,Mumbai Suburban,400051,233,269
01-04-2025,Maharashtra,Raigad,410101,14,59
01-04-2025,Maharashtra,Nandurbar,425442,146,474
01-04-2025,Maharashtra,Aurangabad,431001,2116,4468
01-04-2025,Maharashtra,Pune,410501,484,670
01-04-2025,Maharashtra,Beed,431530,172,582
01-04-2025,Maharashtra,Palghar,401402,24,28
01-04-2025,Maharashtra,Pune,412306,41,63
01-04-2025,Maharashtra,Pune,411026,83,239
01-04-2025,Maharashtra,Aurangabad,431006,57,63
01-04-2025,Maharashtra,Kolhapur,416504,161,158
01-04-2025,Maharashtra,Buldhana,443302,174,746
01-04-2025,Maharashtra,Mumbai Suburban,400081,74,69
01-04-2025,Maharashtra,Buldhana,443304,84,141
01-04-2025,Maharashtra,Pune,412107,47,54
01-04-2025,Maharashtra,Amravati,444701,355,1618
01-04-2025,Maharashtra,Chandrapur,441225,183,669
01-04-2025,Maharashtra,Nanded,431741,101,329
01-04-2025,Maharashtra,Mumbai Suburban,400063,96,110
01-04-2025,Maharashtra,Palghar,401301,60,33
01-04-2025,Maharashtra,Mumbai,400017,289,871
01-04-2025,Maharashtra,Palghar,421312,100,97
01-04-2025,Maharashtra,Nashik,422210,68,183
01-04-2025,Maharashtra,Mumbai City,400008,159,123
01-04-2025,Maharashtra,Nagpur,440037,24,60
01-04-2025,Maharashtra,Aurangabad,431151,79,213
01-04-2025,Maharashtra,Chandrapur,442702,391,941
01-04-2025,Maharashtra,Jalgaon,425402,23,108
01-04-2025,Maharashtra,Buldhana,444303,427,840
01-04-2025,Maharashtra,Nashik,422212,150,448
01-04-2025,Maharashtra,Ahmadnagar,414106,208,533
01-04-2025,Maharashtra,Mumbai,400053,115,273
01-04-2025,Maharashtra,Mumbai,400050,117,459
01-04-2025,Maharashtra,Jalna,431209,262,868
01-04-2025,Maharashtra,Ahmadnagar,413712,16,37
01-04-2025,Maharashtra,Satara,415211,31,37
01-04-2025,Maharashtra,Satara,412801,111,197
01-04-2025,Maharashtra,Nashik,423205,193,443
01-04-2025,Maharashtra,Solapur,413402,96,502
01-04-2025,Maharashtra,Kolhapur,416508,124,162
01-04-2025,Maharashtra,Osmanabad,413624,84,140
01-04-2025,Maharashtra,Bhandara,441104,10,11
01-04-2025,Maharashtra,Nagpur,440030,134,294
01-04-2025,Maharashtra,Jalgaon,425115,66,120
01-04-2025,Maharashtra,Jalgaon,425304,68,169
01-04-2025,Maharashtra,Mumbai Suburban,400052,75,53
01-04-2025,Maharashtra,Nagpur,441306,114,511
01-04-2025,Maharashtra,Latur,413513,257,555
01-04-2025,Maharashtra,Satara,415520,40,62
01-04-2025,Maharashtra,Pune,413120,229,285
01-04-2025,Maharashtra,Aurangabad,431134,81,158
01-05-2025,Maharashtra,Jalgaon,425304,80,231
01-05-2025,Maharashtra,Nagpur,441306,82,449
01-05-2025,Maharashtra,Raigad,410210,52,156
01-05-2025,Maharashtra,Ahmadnagar,414103,107,256
01-05-2025,Maharashtra,Mumbai City,400033,68,111
01-05-2025,Maharashtra,Ahmadnagar,413716,170,293
01-05-2025,Maharashtra,Latur,413514,196,768
01-05-2025,Maharashtra,Pune,412408,84,105
01-05-2025,Maharashtra,Nagpur,441302,139,602
01-05-2025,Maharashtra,Yavatmal,445211,87,367
01-05-2025,Maharashtra,Parbhani,431502,12,29
01-05-2025,Maharashtra,Dhule,425427,186,361
01-05-2025,Maharashtra,Kolhapur,416013,105,113
01-05-2025,Maharashtra,Aurangabad,431134,91,272
01-05-2025,Maharashtra,Amravati,444801,177,653
01-05-2025,Maharashtra,Dhule,424308,106,410
01-05-2025,Maharashtra,Satara,415539,174,292
01-05-2025,Maharashtra,Ahmadnagar,413718,49,79
01-05-2025,Maharashtra,Raigarh,402106,127,125
01-05-2025,Maharashtra,Solapur,413224,91,162
01-05-2025,Maharashtra,Nashik,423111,58,151
01-05-2025,Maharashtra,Pune,411062,158,296
01-05-2025,Maharashtra,Ahmadnagar,413738,36,104
01-05-2025,Maharashtra,Ahmadnagar,423109,291,571
01-05-2025,Maharashtra,Mumbai Suburban,400064,130,118
01-05-2025,Maharashtra,Sangli,415301,169,249
01-05-2025,Maharashtra,Palghar,401202,203,179
01-05-2025,Maharashtra,Osmanabad,413509,210,651
01-05-2025,Maharashtra,Latur,413511,450,1942
01-05-2025,Maharashtra,Mumbai City,400010,125,97
01-05-2025,Maharashtra,Sangli,415303,87,205
01-05-2025,Maharashtra,Nashik,422201,55,87
01-05-2025,Maharashtra,Mumbai City,400011,112,98
01-05-2025,Maharashtra,Pune,413105,129,150
01-05-2025,Maharashtra,Latur,413531,778,3622
01-05-2025,Maharashtra,Pune,411011,207,204
01-05-2025,Maharashtra,Jalgaon,425507,77,227
01-05-2025,Maharashtra,Nashik,423208,103,160
01-05-2025,Maharashtra,Ratnagiri,415639,165,201
01-05-2025,Maharashtra,Thane,400601,453,851
01-05-2025,Maharashtra,Solapur,413218,62,111
01-05-2025,Maharashtra,Ahmadnagar,414503,87,303
01-05-2025,Maharashtra,Thane,401207,17,60
01-05-2025,Maharashtra,Wardha,442307,63,357
01-05-2025,Maharashtra,Sindhudurg,416628,14,21
01-05-2025,Maharashtra,Yavatmal,445302,263,988
01-05-2025,Maharashtra,Washim,444402,128,453
01-05-2025,Maharashtra,Kolhapur,416231,16,20
01-05-2025,Maharashtra,Thane,421301,1455,2377
01-05-2025,Maharashtra,Raigarh,402209,114,77
01-05-2025,Maharashtra,Sangli,415404,51,130
01-05-2025,Maharashtra,Ahmadnagar,414304,111,247
01-05-2025,Maharashtra,Mumbai,400093,208,414
01-05-2025,Maharashtra,Mumbai City,400034,39,29
01-03-2025,Maharashtra,Ahmadnagar,422601,176,857
01-03-2025,Maharashtra,Solapur,413406,54,129
01-03-2025,Maharashtra,Thane,421308,96,272
01-03-2025,Maharashtra,Solapur,413409,31,67
01-03-2025,Maharashtra,Mumbai Suburban,400066,143,231
01-03-2025,Maharashtra,Pune,411031,27,64
01-03-2025,Maharashtra,Aurangabad,431117,181,151
01-03-2025,Maharashtra,Buldhana,443106,205,374
01-03-2025,Maharashtra,Buldhana,443202,181,505
01-03-2025,Maharashtra,Mumbai,400011,68,320
01-03-2025,Maharashtra,Thane,400608,30,92
01-03-2025,Maharashtra,Kolhapur,416104,69,110
01-03-2025,Maharashtra,Mumbai Suburban,400024,40,138
01-03-2025,Maharashtra,Pune,412106,264,448
01-03-2025,Maharashtra,Nagpur,440026,243,853
01-03-2025,Maharashtra,Mumbai,400002,35,148
01-03-2025,Maharashtra,Sangli,416420,40,85
01-03-2025,Maharashtra,Akola,444502,191,929
01-03-2025,Maharashtra,Mumbai,400101,290,1026
01-03-2025,Maharashtra,Solapur,413214,109,136
01-03-2025,Maharashtra,Amravati,444728,73,260
01-03-2025,Maharashtra,Sangli,415310,27,59
01-03-2025,Maharashtra,Jalgaon,425506,24,88
01-03-2025,Maharashtra,Palghar,401305,328,378
01-03-2025,Maharashtra,Latur,413521,624,1412
01-03-2025,Maharashtra,Aurangabad,431135,213,391
01-03-2025,Maharashtra,Dhule,425406,124,170
01-03-2025,Maharashtra,Nashik,422010,477,1047
01-03-2025,Maharashtra,Amravati,444704,284,717
01-03-2025,Maharashtra,Akola,444111,62,123
01-03-2025,Maharashtra,Ahmadnagar,423602,30,91
01-03-2025,Maharashtra,Chandrapur,441224,300,954
01-03-2025,Maharashtra,Amravati,444717,118,243
01-03-2025,Maharashtra,Pune,410511,28,90
01-03-2025,Maharashtra,Nashik,422105,37,82
01-03-2025,Maharashtra,Jalgaon,425127,150,380
01-03-2025,Maharashtra,Dhule,424302,164,483
01-03-2025,Maharashtra,Amravati,444803,321,1066
01-03-2025,Maharashtra,Wardha,442106,99,338
01-03-2025,Maharashtra,Solapur,413111,61,60
01-03-2025,Maharashtra,Mumbai,400031,24,137
01-03-2025,Maharashtra,Thane,400604,513,1404
01-03-2025,Maharashtra,Latur,413581,63,73
01-03-2025,Maharashtra,Jalgaon,425112,12,25
01-03-2025,Maharashtra,Parbhani,431521,251,520
01-03-2025,Maharashtra,Mumbai Suburban,400029,58,35
01-03-2025,Maharashtra,Thane,421403,91,137
01-03-2025,Maharashtra,Latur,413510,209,339
01-03-2025,Maharashtra,Nagpur,440024,240,778
01-03-2025,Maharashtra,Akola,444006,214,789
01-03-2025,Maharashtra,Pune,410501,574,844
01-03-2025,Maharashtra,Nanded,431717,347,657
01-03-2025,Maharashtra,Nashik,422002,92,207
01-03-2025,Maharashtra,Raigarh,410207,73,117
01-03-2025,Maharashtra,Satara,415003,91,144
01-03-2025,Maharashtra,Aurangabad,431109,131,633
01-03-2025,Maharashtra,Nagpur,440006,43,97
01-03-2025,Maharashtra,Aurangabad,431001,2490,5616
01-03-2025,Maharashtra,Raigad,410203,22,88
01-03-2025,Maharashtra,Raigarh,402115,10,39
01-03-2025,Maharashtra,Kolhapur,416501,82,121
01-03-2025,Maharashtra,Ratnagiri,415716,14,56
01-03-2025,Maharashtra,Ahmadnagar,413717,25,43
01-03-2025,Maharashtra,Beed,431142,47,91
01-03-2025,Maharashtra,Kolhapur,416230,63,208
01-03-2025,Maharashtra,Amravati,444902,134,398
01-03-2025,Maharashtra,Akola,444126,63,179
01-03-2025,Maharashtra,Nashik,422209,379,517
01-03-2025,Maharashtra,Gondiya,441901,182,535
01-03-2025,Maharashtra,Solapur,413404,118,158
01-03-2025,Maharashtra,Osmanabad,413604,383,531
01-03-2025,Maharashtra,Ratnagiri,415722,38,116
01-03-2025,Maharashtra,Dhule,424303,97,300
01-03-2025,Maharashtra,Jalna,431202,383,839
01-03-2025,Maharashtra,Buldhana,443204,105,234
01-03-2025,Maharashtra,Sindhudurg,416603,35,64
01-03-2025,Maharashtra,Nagpur,441107,285,525
01-03-2025,Maharashtra,Sangli,415413,46,76
01-03-2025,Maharashtra,Nandurbar,425424,59,222
01-03-2025,Maharashtra,Ahmadnagar,413739,66,138
01-03-2025,Maharashtra,Mumbai,400097,301,1212
01-03-2025,Maharashtra,Buldhana,443304,74,184
01-03-2025,Maharashtra,Yavatmal,445002,232,732
01-03-2025,Maharashtra,Dhule,425407,88,256
01-03-2025,Maharashtra,Pune,412212,35,102
01-03-2025,Maharashtra,Akola,444311,185,784
01-03-2025,Maharashtra,Nashik,423201,163,389
01-03-2025,Maharashtra,Mumbai,400042,78,243
01-03-2025,Maharashtra,Pune,411019,230,492
01-03-2025,Maharashtra,Dhule,424309,75,221
01-03-2025,Maharashtra,Thane,401101,170,495
01-03-2025,Maharashtra,Ratnagiri,415603,23,95
01-03-2025,Maharashtra,Ratnagiri,415626,24,42
01-03-2025,Maharashtra,Ratnagiri,415629,65,61
01-03-2025,Maharashtra,Amravati,444602,271,1224
01-03-2025,Maharashtra,Jalgaon,425310,351,619
01-03-2025,Maharashtra,Ahmadnagar,413711,45,195
01-03-2025,Maharashtra,Amravati,444802,76,315
01-03-2025,Maharashtra,Pune,412210,463,230
01-03-2025,Maharashtra,Nagpur,441109,67,65
01-03-2025,Maharashtra,Nandurbar,425423,80,273
01-03-2025,Maharashtra,Kolhapur,416526,107,105
01-03-2025,Maharashtra,Washim,444110,120,351
01-03-2025,Maharashtra,Raigarh,402201,190,304
01-03-2025,Maharashtra,Raigarh,402106,120,96
01-03-2025,Maharashtra,Satara,412803,245,754
01-03-2025,Maharashtra,Nashik,423111,108,216
01-03-2025,Maharashtra,Mumbai Suburban,400042,102,108
01-03-2025,Maharashtra,Pune,411009,233,718
01-03-2025,Maharashtra,Dhule,424311,101,331
01-03-2025,Maharashtra,Chandrapur,441225,243,804
01-03-2025,Maharashtra,Beed,431125,200,365
01-04-2025,Maharashtra,Parbhani,431516,244,359
01-04-2025,Maharashtra,Palghar,401208,436,564
01-04-2025,Maharashtra,Jalgaon,424102,50,185
01-04-2025,Maharashtra,Raigarh,402103,73,109
01-04-2025,Maharashtra,Palghar,401401,31,20
01-04-2025,Maharashtra,Buldhana,444306,55,157
01-04-2025,Maharashtra,Beed,431130,298,581
01-04-2025,Maharashtra,Akola,444302,51,567
01-04-2025,Maharashtra,Mumbai Suburban,400080,219,238
01-04-2025,Maharashtra,Mumbai Suburban,400091,55,40
01-04-2025,Maharashtra,Dhule,425406,115,308
01-04-2025,Maharashtra,Jalgaon,424204,210,306
01-04-2025,Maharashtra,Yavatmal,445323,121,289
01-04-2025,Maharashtra,Satara,415010,29,52
01-04-2025,Maharashtra,Satara,415207,34,63
01-04-2025,Maharashtra,Ratnagiri,415639,102,223
01-04-2025,Maharashtra,Osmanabad,413509,199,308
01-04-2025,Maharashtra,Yavatmal,445109,109,253
01-04-2025,Maharashtra,Kolhapur,416115,676,1570
01-04-2025,Maharashtra,Osmanabad,413526,31,98
01-04-2025,Maharashtra,Sindhudurg,416534,19,41
01-04-2025,Maharashtra,Amravati,444605,93,228
01-04-2025,Maharashtra,Sangli,416316,20,52
01-04-2025,Maharashtra,Gondiya,441806,80,167
01-04-2025,Maharashtra,Sindhudurg,416549,18,22
01-04-2025,Maharashtra,Satara,415004,119,169
01-04-2025,Maharashtra,Osmanabad,413501,884,1186
01-04-2025,Maharashtra,Ahmadnagar,414306,75,147
01-04-2025,Maharashtra,Beed,431126,230,641
01-04-2025,Maharashtra,Pune,411011,191,237
01-04-2025,Maharashtra,Gadchiroli,441217,67,291
01-04-2025,Maharashtra,Ratnagiri,415605,224,540
01-04-2025,Maharashtra,Jalgaon,425507,93,193
01-04-2025,Maharashtra,Pune,411036,159,166
01-04-2025,Maharashtra,Kolhapur,416235,219,166
01-04-2025,Maharashtra,Sangli,415306,146,175
01-04-2025,Maharashtra,Kolhapur,416146,39,40
01-04-2025,Maharashtra,Solapur,413209,114,164
01-04-2025,Maharashtra,Beed,414203,316,561
01-04-2025,Maharashtra,Satara,415504,32,60
01-04-2025,Maharashtra,Beed,431519,232,1252
01-04-2025,Maharashtra,Yavatmal,445305,154,480
01-04-2025,Maharashtra,Sangli,415404,40,102
01-04-2025,Maharashtra,Ratnagiri,415806,35,27
01-04-2025,Maharashtra,Pune,411042,376,743
01-04-2025,Maharashtra,Buldhana,443206,82,239
01-04-2025,Maharashtra,Nagpur,441502,117,263
01-04-2025,Maharashtra,Ratnagiri,415611,59,129
01-04-2025,Maharashtra,Solapur,413252,52,208
01-04-2025,Maharashtra,Mumbai,400091,46,130
01-04-2025,Maharashtra,Chandrapur,442402,19,131
01-04-2025,Maharashtra,Amravati,442302,21,86
01-04-2025,Maharashtra,Nashik,422105,27,80
01-04-2025,Maharashtra,Aurangabad,431136,307,460
01-04-2025,Maharashtra,Nagpur,441001,80,163
01-04-2025,Maharashtra,Pune,410505,346,558
01-04-2025,Maharashtra,Gadchiroli,442606,148,601
01-04-2025,Maharashtra,Sangli,416419,31,86
01-04-2025,Maharashtra,Pune,412220,47,33
01-04-2025,Maharashtra,Satara,415114,65,72
01-04-2025,Maharashtra,Nanded,431807,101,454
01-04-2025,Maharashtra,Satara,415015,61,93
01-04-2025,Maharashtra,Dhule,424301,50,242
01-04-2025,Maharashtra,Solapur,413305,316,403
01-04-2025,Maharashtra,Ratnagiri,415604,62,222
01-04-2025,Maharashtra,Wardha,442101,226,463
01-04-2025,Maharashtra,Kolhapur,416013,181,112
01-04-2025,Maharashtra,Sindhudurg,416520,147,266
01-04-2025,Maharashtra,Nagpur,441109,25,47
01-04-2025,Maharashtra,Mumbai,400004,62,171
01-04-2025,Maharashtra,Solapur,413001,428,875
01-04-2025,Maharashtra,Satara,415539,282,356
01-04-2025,Maharashtra,Aurangabad,423703,84,239
